TIME,TOTAL_PROCESSES,TOTAL_PRODUCTS,TOTAL_MACHINES,POSSIBLE_TIME_SLOTS
41.049418210983276,27,9,6,192
43.42856788635254,33,11,17,816
45.460925340652466,33,11,6,192
57.838632345199585,51,17,17,816
77.59825444221497,78,26,17,816
90.22689437866211,90,30,17,816
93.63609457015991,99,33,17,816
103.13036108016968,108,36,17,816
117.41178369522095,120,30,28,2016
134.69649815559387,148,37,28,2016
412.59720826148987,320,80,63,9072
